60,115
269,873
131,427
184,717
265,624
166,810
35,558
265,516
269,499
210,762
276,885
16,573
331,892
295,758
133,897
82,593
244,351
298,407
10,283
125,875
139,491
118,374
82,15
122,983
114,764
346,23
81,162
28,412
55,723
3,820
220,685
45,96
68,343
104,279
58,629
386,997
152,304
372,634
120,726
218,834
91,596
289,372
158,918
217,45
241,420
65,494
305,510
190,605
86,326
84,944
155,271
342,308
207,546
174,127
72,24
194,763
220,283
368,611
33,385
256,75
5,754
1,142
64,391
379,350
118,864
327,905
167,469
245,174
247,852
334,751
76,960
147,729
243,115
340,677
300,996
184,537
150,785
311,247
8,890
397,358
386,356
96,353
225,941
160,304
393,526
56,902
286,803
31,961
318,971
38,650
167,854
219,950
39,330
197,280
52,26
238,439
183,366
224,440
308,16
177,101
142,33
35,28
68,866
222,218
37,92
300,37
147,519
219,818
281,416
298,765
274,969
4,289
135,461
162,875
277,939
9,252
204,444
112,504
111,734
322,148
227,54
17,774
5,636
192,886
284,923
251,191
324,88
280,459
149,674
167,258
45,776
110,49
220,23
185,531
157,739
112,816
393,329
390,598
398,415
316,482
338,600
73,694
88,386
385,469
60,952
359,906
328,470
387,949
325,973
112,482
344,624
131,738
386,121
368,384
368,285
298,106
117,4
232,37
390,418
106,450
370,465
188,99
167,8
80,892
381,992
207,925
49,138
295,267
91,696
51,260
213,981
398,330
385,631
167,375
49,105
58,419
370,646
350,970
86,30
294,867
255,701
25,104
71,152
371,563
248,254
255,61
67,653
23,453
84,990
28,565
95,118
217,898
397,967
300,883
230,194
183,485
328,240
21,199
192,424
194,473
110,49
166,377
335,390
230,451
12,891
217,708
9,234
238,238
233,938
122,895
332,337
212,492
177,665
292,201
289,918
74,999
168,673
209,135
63,439
186,907
362,603
247,804
69,685
42,735
255,396
30,220
133,475
112,542
140,636
344,230
155,650
61,755
323,302
90,618
342,476
126,536
312,373
340,613
91,615
380,146
211,211
198,977
318,311
319,58
347,495
120,734
346,214
89,469
116,611
288,258
88,614
27,632
19,367
77,510
382,58
89,226
101,487
235,419
230,954
77,210
82,998
344,828
12,666
297,728
277,617
219,597
263,246
61,683
245,939
25,828
197,546
86,730
66,721
349,296
107,626
138,589
256,915
217,300
181,947
61,90
364,480
120,28
158,381
143,803
352,600
263,781
347,149
111,413
302,660
341,10
119,680
231,607
227,481
340,640
228,401
162,224
313,882
84,71
96,427
106,48
28,970
230,175
351,573
20,686
66,761
328,985
73,759
224,732
272,964
372,900
165,335
357,478
49,841
181,945
269,120
194,529
290,56
336,673
29,756
159,95
349,519
312,423
279,369
387,751
333,760
284,931
127,241
241,776
282,655
322,583
375,948
112,97
204,48
170,865
36,362
393,786
81,505
41,392
106,828
176,440
388,492
171,147
333,244
324,47
99,646
63,674
26,975
371,830
256,774
127,292
136,120
310,249
58,751
274,964
380,250
204,400
142,7
148,707
52,472
354,383
350,617
258,176
225,61
238,313
35,165
37,203
86,148
85,144
299,559
340,479
41,977
312,783
184,660
322,468
132,708
52,714
358,142
90,383
203,128
328,271
325,765
74,811
313,159
187,813
150,528
124,991
305,636
6,721
128,728
22,660
237,506
6,227
48,496
42,83
56,770
154,382
335,61
25,681
52,845
94,403
5,250
394,342
287,633
63,415
393,717
